source_csv,city,area,industry,name,phone,website,has_website,rating,review_count,address,place_id,pipeline_stage,fake_tier,http_status,redirect_url,response_ms,has_ssl,priority_score,tech_score,tech_issues
FINAL_TARGET_REVAMP_LIST,Jacksonville,Mandarin Jacksonville FL,Accountants,Our Bookkeepers Inc,(904) 425-1238,http://www.ourbookkeepers.com/,Yes,5.0,429,"13500 Beach Blvd #45, Jacksonville, FL 32224, USA",ChIJkc_Dym3J5YgRrFEPQ6vUQJM,weak_site,,200,https://www.ourbookkeepers.com/,2318,False,85.0,3,Fetch Failed (Timeout/Blocked)
FINAL_TARGET_REVAMP_LIST,Orlando,MetroWest Orlando FL,Accountants,Tax Direct Accounting Services,(407) 203-1212,http://www.taxdirectflorida.com/,Yes,4.9,160,"5787 Vineland Rd Suite 205, Orlando, FL 32819, USA",ChIJicQ5KsV-54gRaa0lwwc32L8,weak_site,,200,,547,False,85.0,3,No SSL | Not Mobile Friendly (No Viewport) | Missing Title Tag | No Contact Info Found
FINAL_TARGET_REVAMP_LIST,Orlando,Windermere FL,Roofers,Roof Pros USA,(407) 831-7663,http://www.roofprosusa.com/,Yes,4.8,135,"794 Big Tree Dr #108, Longwood, FL 32750, USA",ChIJ1_EPRnlt54gRld6RWNdSEIY,weak_site,,200,https://www.roofprosusa.com/,1224,False,85.0,3,Fetch Failed (Timeout/Blocked)
FINAL_TARGET_REVAMP_LIST,Fort Lauderdale,Davie FL,Cleaning companies,Ng solutions cleaning,(954) 306-6422,https://ngsolutionscleaning.com/,Yes,4.8,204,"4801 S University Dr # 102, Davie, FL 33328, USA",ChIJVaj5lUGo2YgRQ-YdBZNP5bg,weak_site,,200,,1051,True,85.0,3,Fetch Failed (Timeout/Blocked)
FINAL_TARGET_REVAMP_LIST,Jacksonville,Mandarin Jacksonville FL,Roofers,Benton Integrity Roofing Systems,(904) 262-7663,https://www.integrityroofingsystems.com/,Yes,4.7,90,"5570 Florida Mining Blvd S, Jacksonville, FL 32257, USA",ChIJf4IgiJfL5YgR2dgdhGBoSIY,weak_site,,200,,2471,True,80.0,3,Fetch Failed (Timeout/Blocked)
FINAL_TARGET_REVAMP_LIST,Tampa,Westshore Tampa FL,Plumbers,Granda Plumbing,(813) 599-2468,http://grandaplumbing.com/,Yes,4.9,173,"1523 W Grace St, Tampa, FL 33607, USA",ChIJ71IN79CQIacReY_T1pe6Rzo,weak_site,,200,http://www.grandaplumbing.com/,817,False,80.0,4,No SSL | Not Mobile Friendly (No Viewport) | No Contact Info Found
FINAL_TARGET_REVAMP_LIST,Jacksonville,San Marco Jacksonville FL,Electricians,Marco Heating & Air Conditioning,(904) 743-3350,http://marcocompanies.com/,Yes,4.8,346,"720 Mill Creek Rd, Jacksonville, FL 32211, USA",ChIJe7AKSmC05YgRM-iuNFjOtSI,weak_site,,200,https://marcocompanies.com/,2151,False,75.0,5,Not Mobile Friendly (No Viewport) | Missing Title Tag | No Contact Info Found
FINAL_TARGET_REVAMP_LIST,Jacksonville,Riverside Jacksonville FL,Roofers,Prime Roofing,(904) 530-1446,http://www.primeroofingfl.com/,Yes,4.9,127,"3500 Beachwood Ct Suite 207, Jacksonville, FL 32224, USA",ChIJISS5_0hK5IgR83ccMaT6huk,weak_site,,202,,909,False,75.0,5,No SSL | Not Mobile Friendly (No Viewport) | Missing Title Tag
FINAL_TARGET_REVAMP_LIST,Orlando,Oviedo FL,Roofers,Excellence Roofing Group and Construction Orlando,(407) 971-7663,http://excellencerestoration.com/,Yes,4.9,163,"1750 W Broadway St Suite 115B, Oviedo, FL 32765, USA",ChIJyyh5WQtp54gRVk8S17Hvf6c,weak_site,,202,,617,False,75.0,5,No SSL | Not Mobile Friendly (No Viewport) | Missing Title Tag
FINAL_TARGET_REVAMP_LIST,Orlando,Baldwin Park Orlando FL,Accountants,Laus Consulting Services LLC,(407) 401-9768,http://lausconsult.com/,Yes,4.9,96,"879 Outer Rd Ste B, Orlando, FL 32814, USA",ChIJW9zma-l654gRLfwFiNCYI9A,weak_site,,200,https://lausconsult.com/,571,False,73.0,5,Not Mobile Friendly (No Viewport) | Missing Title Tag | No Contact Info Found
FINAL_TARGET_REVAMP_LIST,Orlando,Lake Nona Orlando FL,Plumbers,Pro Craft Plumbing llc,(407) 792-8145,http://procraftplumbing.net/,Yes,4.9,195,"230 Courtland Blvd, Deltona, FL 32738, USA",ChIJWReYKBMW54gRTLMBKzXEeo8,decent_site,,200,,817,False,70.0,6,No SSL | Outdated Copyright (2015)
FINAL_TARGET_REVAMP_LIST,Tampa,Westshore Tampa FL,Remodelers,Tampa Bay General Contractors,(813) 335-5562,http://www.tampabaygeneralcontractors.com/,Yes,5.0,112,"4532 W Kennedy Blvd #500, Tampa, FL 33609, USA",ChIJKwBTMZ3pwogRwzDYo73RsgA,decent_site,,200,,868,False,70.0,6,No SSL | No Contact Info Found
FINAL_TARGET_REVAMP_LIST,Orlando,Baldwin Park Orlando FL,Accountants,Doris Bonnet Inc Tax & Accounting Services LLC,(407) 228-6630,https://www.dorisbonnet.com/,Yes,5.0,68,"1650 W Sand Lake Rd SUITE 245, Orlando, FL 32809, USA",ChIJtXQBhEx854gRc_7IbC0EriY,weak_site,,200,,1247,True,69.0,3,Fetch Failed (Timeout/Blocked)
FINAL_TARGET_REVAMP_LIST,Orlando,Oviedo FL,Plumbers,"Best Plumbing & Remodeling, Inc.",(407) 896-3136,http://www.bprinc.com/,Yes,4.2,94,"3097 Camp Rd, Oviedo, FL 32765, USA",ChIJx8n2IWNp54gRIhcXiGWa878,decent_site,,200,https://www.bestplumbingorlando.com/,3106,False,67.0,6,Not Mobile Friendly (No Viewport) | No Contact Info Found
FINAL_TARGET_REVAMP_LIST,Jacksonville,Mandarin Jacksonville FL,Pest control,"Remedy Pest Solutions, LLC",(904) 743-2403,http://remedypestsolutionsllc.com/,Yes,4.7,62,"10418 New Berlin Rd UNIT 111, Jacksonville, FL 32226, USA",ChIJKZ4-eJOz5YgR_IDU7y8pnQY,weak_site,,200,https://remedypestsolutionsllc.com/,2535,False,66.0,3,Fetch Failed (Timeout/Blocked)
FINAL_TARGET_REVAMP_LIST,Jacksonville,Mandarin Jacksonville FL,Roofers,Armor RoofingCompany,(904) 371-0234,http://www.armorroofingcojax.com/,Yes,5.0,52,"3885 Julington Creek Rd, Jacksonville, FL 32223, USA",ChIJ44nhWJnO5YgRSeMH9GuxySY,weak_site,,200,https://www.armorroofingcojax.com/,2502,False,61.0,3,Fetch Failed (Timeout/Blocked)
FINAL_TARGET_REVAMP_LIST,Jacksonville,Neptune Beach FL,HVAC companies,Air Doctors Heating & Cooling Inc.,(904) 230-4645,http://www.airdrs.com/,Yes,4.9,92,"7900 Baymeadows Cir E Unit 114, Jacksonville, FL 32256, USA",ChIJWXWpo6DL5YgRm6hUVcuzHTY,decent_site,,200,https://airdrs.com/,3289,False,61.0,7,Missing Title Tag | No Contact Info Found
FINAL_TARGET_REVAMP_LIST,Jacksonville,San Marco Jacksonville FL,Cleaning companies,"Wonderfully Maid Cleaning, LLC",(904) 235-6554,http://maidwonderfully.com/,Yes,4.9,225,"311 Glynlea Rd, Jacksonville, FL 32216, USA",ChIJS34KtjW15YgR4urV9rDooZQ,decent_site,,200,https://maidwonderfully.com/,1230,False,60.0,8,Outdated Copyright (2010)
FINAL_TARGET_REVAMP_LIST,Jacksonville,San Marco Jacksonville FL,HVAC companies,NorthPort Heating and Air Conditioning,(904) 438-4822,http://www.jacksonvilleacservice.com/,Yes,4.9,622,"2905 Spring Park Rd, Jacksonville, FL 32207, USA",ChIJXfx07ru15YgRP0KkNluRpLo,decent_site,,200,,1182,False,60.0,8,No SSL
FINAL_TARGET_REVAMP_LIST,Jacksonville,Ponte Vedra Beach FL,HVAC companies,Creeks Air Conditioning & Heating,(904) 780-0073,https://creeksair.com/,Yes,4.9,508,"51 Hudson Way STE 1, Ponte Vedra Beach, FL 32081, USA",ChIJde9582Uz5IgR8kqk4fVZ3e8,decent_site,,200,https://www.creeksair.com/,1665,True,60.0,8,Outdated Copyright (2016)
