source_csv,city,area,industry,name,phone,website,rating,review_count,address,place_id,fake_tier,http_status,redirect_url,response_ms,has_ssl,priority_score,tech_score,tech_issues
FINAL_TARGET_REVAMP_LIST,Fort Lauderdale,Las Olas Fort Lauderdale FL,Accountants,The Original Bookkeepers LLC,(954) 600-5418,http://www.originalbookkeepers.com/,4.5,15,"1 Las Olas Cir, Fort Lauderdale, FL 33316, USA",ChIJzcjxWU4A2YgRzm7-B922QO4,,200,http://originalbookkeepers.com/,1822,False,17.5,8,"No SSL, Not SEO optimized - Google isn't pushing your business to be seen. Outdated web design layout."
FINAL_TARGET_REVAMP_LIST,Fort Lauderdale,Las Olas Fort Lauderdale FL,Accountants,"Wolfe CPA & Advisors, CPA - Tax Plan",(954) 546-1626,https://cpawolfe.com/,5.0,4,"300 SE 2nd St suite 600, Fort Lauderdale, FL 33301, USA",ChIJG1EyO6sB2YgRrX2jHPNFvfs,,200,,1036,True,12.0,8,"Outdated Copyright (2011), Not SEO optimized - Google isn't pushing your business to be seen. Outdated web design layout."
FINAL_TARGET_REVAMP_LIST,Fort Lauderdale,Deerfield Beach FL,Accountants,Gilbert J D & Company CPA,(954) 419-1000,http://www.jdgilbert.com/,3.7,3,"600 W Hillsboro Blvd Suite 101, Deerfield Beach, FL 33441, USA",ChIJJWnD8Zgd2YgR9nhmZltY_Y4,,200,,972,False,11.5,8,"No SSL, Not SEO optimized - Google isn't pushing your business to be seen. Outdated web design layout."
FINAL_TARGET_REVAMP_LIST,Fort Lauderdale,Las Olas Fort Lauderdale FL,Accountants,"Rosa M. Cohen, CPA.",(561) 866-9602,http://rmccpa1.com/,5.0,1,"8 SE 8th St 2nd Floor, Fort Lauderdale, FL 33316, USA",ChIJDVdDoFgA2YgRvuJ_kPdmvjY,,200,,1047,False,10.5,8,"No SSL, Not SEO optimized - Google isn't pushing your business to be seen. Outdated web design layout."
FINAL_TARGET_REVAMP_LIST,Fort Lauderdale,Deerfield Beach FL,Accountants,1Way Tax Services LLC,(954) 415-4516,http://www.1waytaxservices.com/,5.0,19,"1701 W Hillsboro Blvd Suite 208, Deerfield Beach, FL 33442, USA",ChIJpQUJcFjVMK0Rb0j3fOExFWc,,200,https://www.1waytaxservices.com/,201,False,9.5,10,Not SEO optimized - Google isn't pushing your business to be seen. Outdated web design layout.
FINAL_TARGET_REVAMP_LIST,Fort Lauderdale,Davie FL,Cleaning companies,Ng solutions cleaning,(954) 306-6422,https://ngsolutionscleaning.com/,4.8,204,"4801 S University Dr # 102, Davie, FL 33328, USA",ChIJVaj5lUGo2YgRQ-YdBZNP5bg,,200,,1051,True,85.0,3,"Fetch Failed (Timeout/Blocked), Not SEO optimized - Google isn't pushing your business to be seen. Outdated web design layout."
FINAL_TARGET_REVAMP_LIST,Fort Lauderdale,Las Olas Fort Lauderdale FL,Cleaning companies,Maid For You Cleaning,(954) 677-7900,http://www.maidforyoucleaning.com/,4.8,138,"1001 NW 62nd St Ste 302W, Fort Lauderdale, FL 33309, USA",ChIJr7LQFrkD2YgRtx966_fkEDM,,200,https://maidforyoucleaning.com/,4565,False,50.0,10,Not SEO optimized - Google isn't pushing your business to be seen. Outdated web design layout.
FINAL_TARGET_REVAMP_LIST,Fort Lauderdale,Deerfield Beach FL,Cleaning companies,Queen Bee Maids Corp of Boca Raton & Coral Springs,(786) 914-9051,https://queenbeemaids.com/,5.0,73,"715 Siesta Key Trail APT 1411, Deerfield Beach, FL 33441, USA",ChIJHYibJHad408RIZ0K42sTLqI,,200,,6038,True,46.5,8,"No Contact Info Found, Not SEO optimized - Google isn't pushing your business to be seen. Outdated web design layout."
FINAL_TARGET_REVAMP_LIST,Fort Lauderdale,Sunrise FL,Cleaning companies,FH&J GROUP Commercial cleaning and Janitorial Services,(800) 721-6132,http://fhjgroupllc.com/,5.0,11,"2081 N University Dr Suite 104, Sunrise, FL 33322, USA",ChIJz9ttCPVf9Y0RhYn6Esy7t1c,,200,https://fhjgroupllc.com/,1216,False,15.5,8,"Outdated Copyright (2006), Not SEO optimized - Google isn't pushing your business to be seen. Outdated web design layout."
FINAL_TARGET_REVAMP_LIST,Fort Lauderdale,Davie FL,Cleaning companies,Elite environmental cleaning services,(954) 280-8402,https://eliteecsusa.com/,5.0,13,"4474 Weston Rd #1151, Davie, FL 33331, USA",ChIJhwFYsPx-OYURT-jUHdXvvi0,,200,,1350,True,6.5,10,Not SEO optimized - Google isn't pushing your business to be seen. Outdated web design layout.
