source_csv,city,area,industry,name,phone,website,has_website,rating,review_count,address,place_id,pipeline_stage,fake_tier,http_status,redirect_url,response_ms,has_ssl,priority_score
FINAL_TARGET_REVAMP_LIST,Jacksonville,San Marco Jacksonville FL,Electricians,Advanced Electric of North Florida,(904) 744-4446,http://www.advancedwiringservices.com/,Yes,4.6,99,"2801 Dawn Rd, Jacksonville, FL 32207, USA",ChIJjT2Kl1G25YgRwEkqpYwngxY,alive,,200,https://advancedwiringservices.com/,4064,False,
FINAL_TARGET_REVAMP_LIST,Jacksonville,San Marco Jacksonville FL,Electricians,Marco Heating & Air Conditioning,(904) 743-3350,http://marcocompanies.com/,Yes,4.8,346,"720 Mill Creek Rd, Jacksonville, FL 32211, USA",ChIJe7AKSmC05YgRM-iuNFjOtSI,alive,,200,https://marcocompanies.com/,2151,False,
FINAL_TARGET_REVAMP_LIST,Jacksonville,San Marco Jacksonville FL,Electricians,"Marco Electrical Contractors, Inc.",(904) 743-3350,http://marcocompanies.com/,Yes,3.6,13,"720 Mill Creek Rd, Jacksonville, FL 32211, USA",ChIJe7AKSmC05YgRIL_QBK-k9EY,alive,,200,https://marcocompanies.com/,2144,False,
FINAL_TARGET_REVAMP_LIST,Jacksonville,San Marco Jacksonville FL,Electricians,"Panama Electric, Inc.",(904) 403-3966,https://panamaelectricinc.com/,Yes,5.0,1,"841 Prudential Dr, Jacksonville, FL 32207, USA",ChIJIWc_ew635YgRo4xe3mduceU,alive,,200,,2318,True,
FINAL_TARGET_REVAMP_LIST,Jacksonville,San Marco Jacksonville FL,Cleaning companies,"Wonderfully Maid Cleaning, LLC",(904) 235-6554,http://maidwonderfully.com/,Yes,4.9,225,"311 Glynlea Rd, Jacksonville, FL 32216, USA",ChIJS34KtjW15YgR4urV9rDooZQ,alive,,200,https://maidwonderfully.com/,1230,False,
FINAL_TARGET_REVAMP_LIST,Jacksonville,San Marco Jacksonville FL,Accountants,Jack and Dot Taxes & Accounting,(904) 647-4512,http://www.jackndot.com/,Yes,5.0,22,"1016 Lasalle St 1st Floor, Jacksonville, FL 32207, USA",ChIJQ1KiKwi35YgRxo4dbGv3hLM,alive,,200,https://www.jackndot.com/,1172,False,
FINAL_TARGET_REVAMP_LIST,Jacksonville,San Marco Jacksonville FL,Accountants,Michael Davis CPA PA,(904) 237-7771,https://michaeldaviscpa.com/,Yes,5.0,14,"21 W 6th St, Jacksonville, FL 32206, USA",ChIJQRn_-C-35YgRm_zY6g7tuQU,alive,,200,,1620,True,
FINAL_TARGET_REVAMP_LIST,Jacksonville,San Marco Jacksonville FL,HVAC companies,NorthPort Heating and Air Conditioning,(904) 438-4822,http://www.jacksonvilleacservice.com/,Yes,4.9,622,"2905 Spring Park Rd, Jacksonville, FL 32207, USA",ChIJXfx07ru15YgRP0KkNluRpLo,alive,,200,,1182,False,
FINAL_TARGET_REVAMP_LIST,Jacksonville,San Marco Jacksonville FL,HVAC companies,Noble Heating & Air,(904) 413-8020,http://nobleheatingairservices.com/,Yes,5.0,392,"8825 Perimeter Park Blvd ste 201, Jacksonville, FL 32216, USA",ChIJI79UHNfoXQ0R_8FVnEjYqK8,alive,,200,https://nobleheatingairservices.com/,902,False,
FINAL_TARGET_REVAMP_LIST,Jacksonville,San Marco Jacksonville FL,Remodelers,"Complete Home Repair & Remodeling, LLC",(513) 594-8599,https://chrr.online/,Yes,5.0,42,"5820 Cedar Oaks Dr, Jacksonville, FL 32210, USA",ChIJZ_VtIF5gQIgRQQ-ND598bcM,alive,,200,,1123,True,
