filename,decision,website,city,area,industry,name,phone,has_website,rating,review_count,address,place_id,pipeline_stage,fake_tier,http_status,redirect_url,response_ms,has_ssl,priority_score
accountingone_co.png,LEAD,accountingone.co,Jacksonville,St. Johns Town Center Jacksonville FL,Accountants,Accounting I,(904) 378-8989,Yes,5.0,13.0,"2606 Old Middleburg Rd N, Jacksonville, FL 32210, USA",ChIJPaQWpKm45YgRMM47d5bvjhY,alive,,200.0,https://www.accountingone.co/,2416.0,False,
tampabaygeneralcontractors_com.png,LEAD,tampabaygeneralcontractors.com,Tampa,Westshore Tampa FL,Remodelers,Tampa Bay General Contractors,(813) 335-5562,Yes,5.0,112.0,"4532 W Kennedy Blvd #500, Tampa, FL 33609, USA",ChIJKwBTMZ3pwogRwzDYo73RsgA,alive,,200.0,,868.0,False,
airpesttechs_com.png,LEAD,airpesttechs.com,Jacksonville,Fleming Island FL,Pest control,Underwood & Sons Pest Control,,Yes,5.0,7.0,"3600 Russell Rd, Green Cove Springs, FL 32043, USA",ChIJpz_h31na5YgRggNE3YdYx3s,alive,,200.0,https://airpesttechs.com/,2533.0,False,
blueinfinitypoolservicesllc_com.png,LEAD,blueinfinitypoolservicesllc.com,Fort Lauderdale,Davie FL,Pool service companies,Blue infinity pool services,(786) 872-2735,Yes,5.0,15.0,"4474 Weston Rd #355, Davie, FL 33331, USA",ChIJZ_p5ozSn2YgR4iclXmpOFZA,alive,,200.0,https://expireddomains.com/domain/blueinfinitypoolservicesllc.com,1268.0,True,
armorroofingcojax_com.png,LEAD,armorroofingcojax.com,Jacksonville,Mandarin Jacksonville FL,Roofers,Armor RoofingCompany,(904) 371-0234,Yes,5.0,52.0,"3885 Julington Creek Rd, Jacksonville, FL 32223, USA",ChIJ44nhWJnO5YgRSeMH9GuxySY,alive,,200.0,https://www.armorroofingcojax.com/,2502.0,False,
customer1stelectric_com.png,LEAD,customer1stelectric.com,Fort Lauderdale,Coral Ridge Fort Lauderdale FL,Electricians,"Customer 1st Electric, LLC",(954) 340-5668,Yes,5.0,86.0,"4613 N University Dr #439, Coral Springs, FL 33067, USA",ChIJB72rfbka2YgRdzTQsoZVIkc,alive,,200.0,https://customer1stelectric.com/,1654.0,False,
elekronelectric_com.png,LEAD,elekronelectric.com,Fort Lauderdale,Rio Vista Fort Lauderdale FL,Electricians,Elekron Electric Inc,(786) 423-5230,Yes,5.0,231.0,"2332 Galiano St Second Floor, Coral Gables, FL 33134, USA",ChIJ3xpi3L232YgRgtKQ59YyICk,alive,,200.0,https://www.elekronelectric.com/,1648.0,False,
eliteecsusa_com.png,LEAD,eliteecsusa.com,Fort Lauderdale,Davie FL,Cleaning companies,Elite environmental cleaning services,(954) 280-8402,Yes,5.0,13.0,"4474 Weston Rd #1151, Davie, FL 33331, USA",ChIJhwFYsPx-OYURT-jUHdXvvi0,alive,,200.0,,1350.0,True,
eliteairpros_com.png,LEAD,eliteairpros.com,Fort Lauderdale,Pompano Beach FL,HVAC companies,"Elite Air Conditioning & Construction, llc",(954) 304-7255,Yes,5.0,54.0,"509 NW 36th Ave, Pompano Beach, FL 33069, USA",ChIJ7_Ll8D8D2YgRVjo99871NKo,alive,,200.0,http://www.eliteairpros.com/cgi-sys/suspendedpage.cgi,2236.0,True,
felixblancocpa_com.png,LEAD,felixblancocpa.com,Tampa,Westshore Tampa FL,Accountants,"Felix Blanco, CPA",(813) 343-3863,Yes,5.0,36.0,"13059 W Linebaugh Ave #102, Tampa, FL 33626, USA",ChIJTUU0yXjrwogR7TNaHzAmrN0,alive,,200.0,,928.0,False,
fhjgroupllc_com.png,LEAD,fhjgroupllc.com,Fort Lauderdale,Sunrise FL,Cleaning companies,FH&J GROUP Commercial cleaning and Janitorial Services,(800) 721-6132,Yes,5.0,11.0,"2081 N University Dr Suite 104, Sunrise, FL 33322, USA",ChIJz9ttCPVf9Y0RhYn6Esy7t1c,alive,,200.0,https://fhjgroupllc.com/,1216.0,False,
coolmodeac_com.png,LEAD,coolmodeac.com,Tampa,Land O Lakes FL,HVAC companies,Cool Mode A/C Services LLC,(813) 790-8313,Yes,5.0,45.0,"3930 Seixas Pl, Land O' Lakes, FL 34639, USA",ChIJr_hLtiW7wogRKhSW1VDI-b8,alive,,200.0,,1359.0,True,
cfocollective_io.png,LEAD,cfocollective.io,Tampa,Ybor City Tampa FL,Accountants,The CFO Collective,(888) 315-6420,Yes,5.0,15.0,"1600 E 8th Ave A200, Tampa, FL 33605, USA",ChIJWapHRlLFwogRiqzPHZQie7o,alive,,200.0,,1116.0,True,
bickoffconstruction_com.png,LEAD,bickoffconstruction.com,Fort Lauderdale,Cypress Creek Fort Lauderdale FL,Remodelers,Bickoff Construction,(561) 629-2622,Yes,5.0,14.0,"500 N Andrews Ave #657, Fort Lauderdale, FL 33301, USA",ChIJcbp0TEUm2YgRbezbIwYenjw,alive,,200.0,,967.0,False,
akelectricalfl_com.png,LEAD,akelectricalfl.com,Orlando,Windermere FL,Electricians,AK Electrical,(941) 441-6292,Yes,5.0,87.0,"239 Center Ct, Venice, FL 34285, USA",ChIJezsGAxSTDAkRLiPFB2Ukwk0,alive,,202.0,,1186.0,True,
acheatpros_com.png,LEAD,acheatpros.com,Orlando,Casselberry FL,HVAC companies,AC & Heating Pros,(407) 821-7870,Yes,5.0,60.0,"1341 Unity Ct, Casselberry, FL 32707, USA",ChIJVxUJeaZv54gRorwJzBiLvTM,alive,,200.0,,1617.0,True,
baldwinplumbingtamarac_com.png,LEAD,baldwinplumbingtamarac.com,Fort Lauderdale,Tamarac FL,Plumbers,Baldwin Plumbing & Drain,(954) 730-5750,Yes,5.0,25.0,"10300 W Commercial Blvd suite 509, Tamarac, FL 33321, USA",ChIJAQBEME4P2YgR8JW7RW0KtdQ,alive,,200.0,,1318.0,True,
asolidconnection_com.png,LEAD,asolidconnection.com,Tampa,Brandon FL,Electricians,A Solid Connection Electrical Services of SWFL LLC,(239) 258-7382,Yes,5.0,112.0,"2209 Kingswood Ln, Brandon, FL 33511, USA",ChIJfRSLDTKU_gcRk_LbKSkGVJc,alive,,200.0,https://asolidconnection.com/,1591.0,False,
amegelectricallighting_net.png,LEAD,amegelectricallighting.net,Fort Lauderdale,Coral Springs FL,Electricians,AMEG Services,(954) 668-4901,Yes,5.0,158.0,"12201 NW 35th St, Coral Springs, FL 33065, USA",ChIJJfjo17QR2YgRqv6-I8DgpU8,alive,,200.0,,90.0,True,
cpawolfe_com.png,LEAD,cpawolfe.com,Fort Lauderdale,Las Olas Fort Lauderdale FL,Accountants,"Wolfe CPA & Advisors, CPA - Tax Plan",(954) 546-1626,Yes,5.0,4.0,"300 SE 2nd St suite 600, Fort Lauderdale, FL 33301, USA",ChIJG1EyO6sB2YgRrX2jHPNFvfs,alive,,200.0,,1036.0,True,
